src_vid,dst_vid
DB00131,SMP0000212
DB00131,SMP0000248
DB00131,SMP0000251
DB00131,SMP0000254
DB00131,SMP0000293
DB00131,SMP0000294
DB00131,SMP0000334
DB00131,SMP0000339
DB00131,SMP0000360
DB00131,SMP0000361
DB00132,SMP0000018
DB00133,SMP0000004
DB00133,SMP0000009
DB00133,SMP0000029
DB00133,SMP0000177
DB00133,SMP0000348
DB00133,SMP0002313
DB00133,SMP0015056
DB00133,SMP0015057
DB00133,SMP0015058
DB00133,SMP0015062
DB00133,SMP0015063
DB00133,SMP0015074
DB00133,SMP0015077
DB00133,SMP0015078
DB00133,SMP0015084
DB00133,SMP0015086
DB00133,SMP0015092
DB00133,SMP0015094
DB00133,SMP0015095
DB00133,SMP0015097
DB00133,SMP0015101
DB00133,SMP0015103
DB00133,SMP0015109
DB00133,SMP0015112
DB00133,SMP0015114
DB00133,SMP0015116
DB00133,SMP0015117
DB00133,SMP0015119
DB00133,SMP0015120
DB00133,SMP0015121
DB00134,SMP0000004
DB00134,SMP0000123
DB00134,SMP0000177
DB00134,SMP0000248
DB00134,SMP0000251
DB00134,SMP0000254
DB00134,SMP0000293
DB00134,SMP0000294
DB00134,SMP0000713
DB00134,SMP0000730
DB00134,SMP0000731
DB00134,SMP0002313
DB00134,SMP0000033
DB00134,SMP0000221
DB00134,SMP0000223
DB00134,SMP0000244
DB00134,SMP0000252
DB00134,SMP0000253
DB00134,SMP0000258
DB00134,SMP0000290
DB00134,SMP0000291
DB00134,SMP0000292
DB00134,SMP0000295
DB00134,SMP0000445
DB00134,SMP0000712
DB00134,SMP0000714
DB00134,SMP0000727
DB00134,SMP0000728
DB00134,SMP0000729
DB00134,SMP0000179
DB00135,SMP0000170
DB00135,SMP0000206
DB00135,SMP0000006
DB00135,SMP0000012
DB00135,SMP0000218
DB00135,SMP0000370
DB00135,SMP0000429
DB00135,SMP0000008
DB00135,SMP0000169
DB00135,SMP0000190
DB00135,SMP0000369
DB00135,SMP0000494
DB00135,SMP0000497
DB00135,SMP0000498
DB00135,SMP0000533
DB00135,SMP0000716
DB00139,SMP0000071
DB00139,SMP0000136
DB00139,SMP0000138
DB00139,SMP0000200
DB00139,SMP0000207
DB00139,SMP0000208
DB00139,SMP0000243
DB00139,SMP0000363
DB00139,SMP0000451
DB00139,SMP0000506
DB00139,SMP0000523
DB00139,SMP0000546
DB00139,SMP0000547
DB00139,SMP0000548
DB00139,SMP0000549
DB00139,SMP0000567
DB00139,SMP0000654
DB00139,SMP0002291
DB00139,SMP0000030
DB00139,SMP0000032
DB00139,SMP0000140
DB00139,SMP0000141
DB00139,SMP0000199
DB00139,SMP0000236
DB00139,SMP0000237
DB00139,SMP0000238
DB00139,SMP0000362
DB00139,SMP0000384
DB00139,SMP0000385
DB00139,SMP0000504
DB00140,SMP0000070
DB00141,SMP0000045
DB00141,SMP0000534
DB00141,SMP0000216
DB00141,SMP0000217
DB00141,SMP0000240
DB00141,SMP0000390
DB00142,SMP0000002
DB00142,SMP0000003
DB00142,SMP0000004
DB00142,SMP0000006
DB00142,SMP0000009
DB00142,SMP0000016
DB00142,SMP0000020
DB00142,SMP0000044
DB00142,SMP0000050
DB00142,SMP0000072
DB00142,SMP0000084
DB00142,SMP0000085
DB00142,SMP0000086
DB00142,SMP0000096
DB00142,SMP0000101
DB00142,SMP0000104
DB00142,SMP0000137
DB00142,SMP0000139
DB00142,SMP0000173
DB00142,SMP0000186
DB00142,SMP0000188
DB00142,SMP0000191
DB00142,SMP0000210
DB00142,SMP0000216
DB00142,SMP0000217
DB00142,SMP0000218
DB00142,SMP0000239
DB00142,SMP0000240
DB00142,SMP0000289
DB00142,SMP0000339
DB00143,SMP0000077
DB00143,SMP0000087
DB00143,SMP0000093
DB00143,SMP0000094
DB00143,SMP0000114
DB00143,SMP0000116
DB00143,SMP0000136
DB00143,SMP0000183
DB00143,SMP0000243
DB00143,SMP0000500
DB00143,SMP0000567
DB00143,SMP0000692
DB00143,SMP0000697
DB00143,SMP0000702
