src_vid,dst_vid
DB00115,BE0002175
DB00115,BE0002176
DB00115,BE0000456
DB00115,BE0002668
DB00115,BE0009637
DB00115,BE0000238
DB00115,BE0000362
DB00115,BE0004690
DB00115,BE0000936
DB00115,BE0000942
DB00115,BE0000785
DB00115,BE0000617
DB00116,BE0000268
DB00116,BE0000010
DB00116,BE0000933
DB00116,BE0000734
DB00116,BE0000822
DB00116,BE0001240
DB00116,BE0000331
DB00116,BE0000292
DB00116,BE0002176
DB00116,BE0002154
DB00116,BE0002177
DB00116,BE0001069
DB00116,BE0000002
DB00117,BE0000740
DB00117,BE0000285
DB00117,BE0000086
DB00117,BE0003654
DB00117,BE0002089
DB00118,BE0008997
DB00118,BE0005015
DB00118,BE0000372
DB00118,BE0000101
DB00118,BE0000304
DB00118,BE0000323
DB00118,BE0000407
DB00118,BE0000300
DB00118,BE0003533
DB00118,BE0000449
DB00119,BE0000178
DB00119,BE0000102
DB00119,BE0000386
DB00119,BE0000046
DB00119,BE0000174
DB00119,BE0000440
DB00119,BE0000098
DB00119,BE0000088
DB00119,BE0000253
DB00119,BE0000195
DB00119,BE0000361
DB00119,BE0000669
DB00119,BE0000698
DB00119,BE0000440
DB00119,BE0000669
DB00119,BE0003654
DB00119,BE0003655
DB00119,BE0000449
DB00119,BE0000692
DB00120,BE0000789
DB00120,BE0000038
DB00120,BE0000753
DB00120,BE0000028
DB00120,BE0000561
DB00120,BE0000614
DB00120,BE0003654
DB00120,BE0000544
DB00121,BE0000159
DB00121,BE0000072
DB00121,BE0000702
DB00121,BE0000445
DB00121,BE0000698
DB00121,BE0000492
DB00121,BE0000626
DB00121,BE0001111
DB00121,BE0000094
DB00121,BE0004708
DB00121,BE0002341
DB00122,BE0000494
DB00122,BE0000426
DB00122,BE0000615
DB00122,BE0002179
DB00122,BE0002180
DB00122,BE0002181
DB00122,BE0002186
DB00122,BE0002190
DB00122,BE0000237
DB00122,BE0000519
DB00122,BE0000784
DB00122,BE0000636
DB00122,BE0003647
DB00122,BE0003648
DB00122,BE0003650
DB00122,BE0000106
DB00122,BE0000757
DB00122,BE0001059
DB00122,BE0002182
DB00122,BE0002183
DB00122,BE0002184
DB00122,BE0000696
DB00122,BE0000212
DB00123,BE0000052
DB00123,BE0000136
DB00123,BE0000562
DB00123,BE0000198
DB00123,BE0003654
DB00123,BE0000757
DB00123,BE0000136
DB00125,BE0000448
DB00125,BE0000520
DB00125,BE0000005
DB00125,BE0000212
DB00125,BE0000758
DB00125,BE0000052
DB00125,BE0000671
DB00125,BE0000263
DB00125,BE0000106
DB00125,BE0003654
DB00125,BE0000757
DB00125,BE0001361
DB00126,BE0004796
DB00126,BE0002192
DB00126,BE0002117
DB00126,BE0002195
DB00126,BE0002197
DB00126,BE0000138
DB00126,BE0002200
